Ana Maria                     		52 anos
Creuza de Jesus               		58 anos
João da Silva de Almeida      		54 anos
Zuleide Lima                  		55 anos
Pedro paulo Pereira           		30 anos
Jussara da Silva              		59 anos
Hermanoteu de Jesus              	33 anos
Ana Paula                     		25 anos
Joziara Diniz                 		30 anos
Pedro Henrique                		19 anos
Jozé Maria                    		65 anos
João Paulo de Jesus           		15 anos
Pedro de Paula                		39 anos
Marcos Paulo                  		30 anos
Pedro                               30 anos
Maria Paula                   		39 anos
